name,course_url,course_id,reviews,reviewers,rating,user_id,Sequence,tfidf_matrix
Machine Learning Foundations: A Case Study Approach,https://www.coursera.org/learn/ml-foundations,1,informative basic machine learning set stage deep dive topic machine learn like regression classification clustering etc,Satish K D,5.0,60454,machine learning foundation case study approach informative basic machine learning set stage deep dive topic machine learn like regression classification clustering etc,"  (0, 1057)	0.2349728003398067
  (0, 492)	0.30783389954087975
  (0, 467)	0.28085270136355894
  (0, 2551)	0.28085270136355894
  (0, 1774)	0.15184588737589244
  (0, 1738)	0.10838031816722486
  (0, 3142)	0.17812570368012504
  (0, 867)	0.2650697122053003
  (0, 760)	0.1893239126991872
  (0, 2865)	0.29205091038262104
  (0, 2723)	0.2294025083009763
  (0, 272)	0.13726070474995186
  (0, 1552)	0.18751309128021645
  (0, 172)	0.19642089613044258
  (0, 2926)	0.18578277793711667
  (0, 415)	0.20242131012365552
  (0, 1264)	0.18176626542041102
  (0, 1741)	0.22636585125623943
  (0, 1827)	0.35966607988783605"
Machine Learning Foundations: A Case Study Approach,https://www.coursera.org/learn/ml-foundations,1,great learning experience option video exercise use panda scikit learn,Mohit A,4.0,7170,machine learning foundation case study approach great learning experience option video exercise use panda scikit learn,"  (0, 2681)	0.40035871121938726
  (0, 2183)	0.36526784648506805
  (0, 3282)	0.20081449040836596
  (0, 1104)	0.23639926556306023
  (0, 3330)	0.20130840082874102
  (0, 2139)	0.36526784648506805
  (0, 1117)	0.19266068197924965
  (0, 1365)	0.13903412106324672
  (0, 1738)	0.14095590046350645
  (0, 172)	0.2554585994220498
  (0, 2926)	0.24162301050207813
  (0, 415)	0.26326254179710484
  (0, 1264)	0.23639926556306023
  (0, 1741)	0.2944040296023095
  (0, 1827)	0.15592331711786334"
Machine Learning Foundations: A Case Study Approach,https://www.coursera.org/learn/ml-foundations,1,love course hope soon,Hari S,5.0,64355,machine learning foundation case study approach love course hope soon,"  (0, 2827)	0.4490083042923362
  (0, 1463)	0.4022455959166934
  (0, 645)	0.10994889004342515
  (0, 1813)	0.3177287847652311
  (0, 172)	0.3404286579219067
  (0, 2926)	0.32199110687355226
  (0, 415)	0.3508283298658161
  (0, 1264)	0.3150298517702225
  (0, 1741)	0.19616401426896876
  (0, 1827)	0.20778617633250998"
Machine Learning Foundations: A Case Study Approach,https://www.coursera.org/learn/ml-foundations,1,easy follow enjoyable,Mai T,5.0,130375,machine learning foundation case study approach easy follow enjoyable,"  (0, 982)	0.481110595329629
  (0, 1244)	0.34196691619368963
  (0, 914)	0.2782224966082066
  (0, 172)	0.3565106457704406
  (0, 2926)	0.3372020973338922
  (0, 415)	0.36740160243418424
  (0, 1264)	0.3299119897166006
  (0, 1741)	0.20543088185012545
  (0, 1827)	0.2176020795624881"
Machine Learning Foundations: A Case Study Approach,https://www.coursera.org/learn/ml-foundations,1,really like course nice introduction ml downside would nice comment implement algorithm without use graphlab,Ornella G,4.0,50513,machine learning foundation case study approach really like course nice introduction ml downside would nice comment implement algorithm without use graphlab,"  (0, 1360)	0.3356856830521129
  (0, 3410)	0.22847480926821506
  (0, 96)	0.2401239680535369
  (0, 1508)	0.28250902339820827
  (0, 514)	0.29679142961531096
  (0, 3436)	0.16878950336937765
  (0, 884)	0.3356856830521129
  (0, 1955)	0.23201415034985026
  (0, 1625)	0.10513053437805481
  (0, 2052)	0.3409752598474312
  (0, 2509)	0.13936713645908363
  (0, 645)	0.06917812711468639
  (0, 3282)	0.16837537810574799
  (0, 1774)	0.16558439632039818
  (0, 172)	0.21419240305111234
  (0, 2926)	0.20259178343955625
  (0, 415)	0.22073571446974202
  (0, 1264)	0.19821187027967163
  (0, 1741)	0.12342333887196315
  (0, 1827)	0.13073582201082515"
Machine Learning Foundations: A Case Study Approach,https://www.coursera.org/learn/ml-foundations,1,wonderful course get door machine learning cover several key concept ml video easy follow assignment difficult complete follow along exercise will not able understand theoretical background algorithm well take course apply grahphlab function whatever datum generate quick dirty result,Chengcheng L,5.0,101298,machine learning foundation case study approach wonderful course get door machine learning cover several key concept ml video easy follow assignment difficult complete follow along exercise able understand theoretical background algorithm well take course apply grahphlab function whatever datum generate quick dirty result,"  (0, 2602)	0.1842871136385548
  (0, 850)	0.2038729555790764
  (0, 2470)	0.18806022968575403
  (0, 1319)	0.22345879751959796
  (0, 738)	0.12104798111190064
  (0, 3394)	0.22345879751959796
  (0, 1294)	0.1583960389153561
  (0, 1356)	0.22345879751959796
  (0, 170)	0.15984540260702063
  (0, 3001)	0.12067371872597747
  (0, 3378)	0.09508165628553493
  (0, 258)	0.1665248977756209
  (0, 3083)	0.17283013055829802
  (0, 3233)	0.10053561691884676
  (0, 2)	0.15570291663292513
  (0, 107)	0.16470127169803322
  (0, 529)	0.13365844667725485
  (0, 836)	0.14693905583509934
  (0, 212)	0.11100733261722236
  (0, 553)	0.11022599996920489
  (0, 1687)	0.17283013055829802
  (0, 2727)	0.19241597249881956
  (0, 675)	0.13548207275484253
  (0, 880)	0.19756772279639928
  (0, 1324)	0.11436848594330037
  (0, 3416)	0.14178730553751964
  (0, 96)	0.15984540260702063
  (0, 1955)	0.15444686998063029
  (0, 1244)	0.27353335129420236
  (0, 914)	0.11127265284864266
  (0, 645)	0.09210080667816802
  (0, 1104)	0.13194541329285678
